writer,location,date,time,news,title,class
الرياضية,بريدة,2021-01-25,05:32,قاد الكاميروني لياندر تاوامبا مهاجم فريق التعاون الأول لكرة القدم فريقه تحقيق فوز كبير ضيفه ضمك 3 1 بإحرازه هاتريك المباراة جمعت الفريقين ملعب مدينة الملك عبدالله الرياضية بريدة لحساب الجولة 15 دوري كأس محمد بن سلمان للمحترفين ورفع التعاون رصيده 24 نقطة المركز الخامس تجمد رصيد ضمك 12 نقطة المركز 15 قبل الأخير التعاون تقدم المباراة مبكرا طريق الكاميروني تاوامبا الدقيقة السادسة استقباله لكرة مبعدة دفاع ضمك سددها يمين خالد شراحيلي حارس المرمى يتأخر هدف التعادل لضمك كثيرا احتسب ماجد الشمراني حكم المواجهة ركلة جزاء للضيوف عرقلة ياسين برناوي لاعب التعاون لمنصور حمزي تمكن خلالها الكرواتي أنتوليتش تسجيل هدف التعادل الدقيقة التاسعة لينتهي الشوط الأول بالتعادل 1 1 الشوط الثاني يمنح التعاون ضيفه الفرصة وأضاف الهدف الثاني طريق تاوامبا استغل تمريرة عبدالله ساني زميله واسكنها شباك ضمك الدقيقة 47 وزاد عبدالعزيز مجرشي لاعب ضمك معاناة فريقه تلقيه البطاقة الحمراء الدقيقة 67 بسبب عرقلته لياسين برناوي كان قريبا الانفراد بمرمى فريقه ليكمل ضمك المباراة بعشرة لاعبين وبينما كانت المباراة تلفظ أنفاسها الأخيرة عاد المتألق تاوامبا وأضاف الهدف الثالث لفريقه كرة ثابتة أطراف منطقة الجزاء يحسن شراحيلي حارس ضمك التعامل معها وسكنت شباكه لتنتهي المباراة بفوز التعاون 3 1 ويواجه التعاون الجولة المقبلة نظيره الفيصلي السبت 30 يناير يلاقي ضمك نظيره الرائد الأحد 31 يناير,التعاون يعبر ضمك هاتريك تاوامبا,1
الرياضية,مكة المكرمة,2021-01-25,01:41,يحل فريق الشباب الأول لكرة القدم ضيفا نظيره الوحدة الإثنين مباراة لحساب الجولة 15 دوري كأس محمد بن سلمان للمحترفين ملعب مدينة الملك عبدالعزيز الرياضية الشرائع ضمن ختام لقاءات الدور الأول ويطمح الفريق الشبابي لمواصلة المسير بخطوات واسعة مضمار المنافسة اللقب فوز الأهلي الاتفاق وضمانه الوصول 29 نقطة انتهاء الدور الأول وقت يملك الهلال المتصدر الرصيد ذاته تبقي مباراة الفيصلي الإثنين وأضاف الشباب رصيده 26 نقطة الجولات 14 الماضية وسيحتفظ بالمركز الثاني الأقل حال فوزه الوحدة وقت يأمل الأخير العودة طريق الانتصارات توقف المباريات الثلاث الأخيرة بتعادلين وخسارة يتمكن الفريق الأبيض الاستعانة بخدمات نواف العابد لاعب الوسط يمر بوعكة صحية إضافة عبدالله الشامخ لشعوره بآلام العضلة الخلفية يسعى لكسب المواجهة تعثره الجولة السابقة بالتعادل أمام الفيصلي بهدف لمثله خلال اللقاء جمعهما ملعب الأمير خالد بن سلطان ضمن المرحلة 14 جانبه سينهي الوحدة قسم الذهاب المسابقة 21 نقطة حال نجاحه تحقيق العلامة الكاملة الإثنين يعود آخر فوز الأول يناير الجاري عندما هزم الاتفاق بهدفين مقابل هدف واحد,الشباب لتعزيز حظوظه بالمنافسة أمام الوحدة,1
الرياضية,الرياض,2021-01-25,01:11,تتجدد طموحات الهلال بالانفراد بصدارة ترتيب دوري كأس محمد بن سلمان للمحترفين حينما يحل ضيفا الفيصلي الإثنين ضمن الجولة 15 انتصار الأهلي الاتفاق الأحد وبلوغه النقطة 29 متساويا الأزرق وجمع حامل اللقب نقاطه 29 8 حالات فوز و5 تعادلات كثالث الأندية تعادلا إضافة خسارة وحيدة يد الوحدة وقت حصد الفيصلي 15 نقطة المركز 13 وحقق الهلال الفوز مجددا صيام 4 مباريات التوالي أمام الاتحاد والشباب 1 1 الباطن بهدفين لمثلهما قبل يتعادل سلبا الأهلي لينتصر التعاون الجولة الماضية بهدفين مقابل ويحرص الروماني رازفان لوشيسكو استمرار الانتصارات لتسجيل ختاما متفوقا الدور الأول المسابقة ونيل بطولة الشتاء وسيحتاج لذلك كسب مضيفه المجمعة الخروج بنقطة التعادل الأحوال الطرف الآخر يأمل الفيصلي البرازيلي بريكليس شاموسكا استثمار عامل الأرض تمنحه قوة إضافية دوما خلال مبارياته تعادل معه الموسم الماضي 2 2 ويطمح تجنب الخسارة للابتعاد خطور التراجع أحد مراكز الهبوط الثلاثة نهاية القسم الأول,الهلال لتجديد الانفراد بالصدارة بوابة الفيصلي,1
الرياضية,الرياض,2021-01-25,12:49,أنقذ البرازيلي رومارينيو لاعب فريق الاتحاد الأول لكرة القدم النمور الخسارة أمام النصر بإحرازه هدف التعادل الدقائق الأخيرة عمرمواجهة الكلاسيكو جمعت الفريقين أمس ضمن الجولة 15 دوري كأس محمد بن سلمان للمحترفين ملعب مدبنة الملك عبدالعزيز الرياضية الشرائع وانتهت بنتيجة 1 1 خطف فريق الأهلي فوزا صعبا مضيفه الاتفاق 2ـ1 اللقاء جمعهما ملعب الأمير محمد بن فهد الدمام وأصبح الأهلي أقوى المنافسين الصدارة رفع رصيده 29 نقطة متساويا الهلال المتصدر سيلعب اليوم أمام الفيصلي,الأهلي يضرب والأصفران يتعطلان,1
حمد الصويلحي,الرياض,2021-01-25,12:41,كشفت الرياضية مصادر خاصة علي البليهي مدافع فريق الهلال الأول لكرة القدم سيكون جاهزا للمشاركة نهائي كأس السوبر سيجمع فريقه أمام النصر السبت المقبل المباراة ستجرى ملعب الملك فهد الدولي الرياض وأشارت المصادر ذاتها البليهي أنهى برنامجه التأهيلي واللياقي وسيكون مقدمة اللاعبين المشاركين التدريب الأول للفريق عقب العودة المجمعة غدا يواجه فريق الفيصلي ختام منافسات الدور الأول مباريات دوري كأس محمد بن سلمان للمحترفين وتقرر يكون البليهي ضمن خيارات الروماني رازفان لوشيسكو أجل تدعيم خط الدفاع الأزرق نهائي الكأس وعانى الفريق الهلالي كثرة الإصابات العضلية خاصة خط الدفاع غاب البداية عبد الله المعيوف الحارس قرابة الشهرين واتبعه الكوري هيون البليهي كان تغيب محمد البريك وياسر الشهراني فترات متقطعة وكان البليهي تعرض لإصابة العضلة الخلفية التدريبات سبقت مواجهة الفريق أمام الوحدة خسرها الفريق 1ـ2 ضمن منافسات الجولة الثامنة سيعود تعافى الإصابة,البليهي يقود الهلال السوبر,0
طلال القطيني,حفر الباطن,2021-01-25,12:40,أكدت الرياضية مصادر خاصة الهولندي محمد رايحي لاعب فريق الباطن الأول لكرة القدم سيعود المشاركة الأساسية فريقه مواجهة الأهلي الجولة 16 مباريات دوري كأس محمد بن سلمان للمحترفين يوم الحادي والثلاثين يناير الجاري وعانى رايحي الإصابة وتر الركبة أبعدته مواجهتي ضمك والعين يواصل اللاعب برنامجه التأهيلي مقر النادي لحين التعافي ويواجه فريق الباطن اليوم نظيره العين ملعبه حفر الباطن الجولة 15 منافسات الدوري يحتل المرتبة الرابعة عشرة برصيد 13 نقطة,رايحي يظهر 6 أيام,0
عبد الرحمن مشبب,الرياض,2021-01-25,12:39,ينتظر حضور الدولي علي الطريفي اجتماع حكام دوري كأس محمد بن سلمان للمحترفين 12 سيعقد عقب نهاية الجولة 15 لمناقشة الحالات التحكيمية وقعت جانب الإسباني فرناندو تريساكو رئيس لجنة الحكام والسويسري مانويل مدير دائرة التحكيم وكان الاتحاد السعودي لكرة القدم أعلن تعيين علي الطريفي مستشارا للجنة الحكام الرئيسة أمس للانضمام فريق المراجعة الدورية للحالات الخاصة بتقنية حكم الفيديو المساعد أجل تطوير مستويات الحكام عمل الطريفي مديرا لدائرة الحكام الاتحاد الأردني ومديرا لدائرة التحكيم الاتحاد الإماراتي جهة ثانية اتفق اتحاد الكرة الأرجنتيني أليخو بيريز المدرب المتخصص اللياقة البدنية للإشراف اللياقة البدنية لجميع الحكام خلال وضع البرامج وتطوير مدربي اللياقة المناطق ومتابعة حكام دوري المحترفين والدرجتين الأولى والثانية طريق ساعات رياضية متخصصة بمتابعة اللياقة البدنية وزعتها اللجنة الحكام,الاجتماع 12 أول أعمال الطريفي,2
الرياضية,الرياض,2021-01-25,12:38,عاقبت لجنة الانضباط الاتحاد السعودي لكرة القدم أمس اليوناني جورجيوس تسوناكاس المعد البدني نادي الهلال بالإيقاف لمدة 4 مباريات فرض غرامة مالية قدرها 40 ألف ريال بسبب استخدامه ألفاظا بذيئة تجاه حكم مواجهة فريقه أمام الأهلي دوري كأس محمد بن سلمان للمحترفين وبينت اللجنة بيانها اليوناني تسوناكاس استخدم ألفاظا بذيئة تجاه مسؤول المباراة وفقا لإفادة لجنة الحكام المتضمنة الفيديو المصور الناقل الرسمي رأت تشديد العقوبة وفقا للمادة 39ـ4 مشيرة القرار قابل للاستئناف,ألفاظ بذيئة تعاقب تسوناكاس,0
محمد السناني,المجمعة,2021-01-25,12:29,الرياضية مصدر مسؤول إدارة الفيحاء إدارة النادي تتلق خطابات رسمية الأهلي تفيد بإلغاء فترة إعارة الغاني أوسو مهاجم فريق الأهلي الأول لكرة القدم مشيرا أنه حالة رفض الأهلي تفعيل بند التجديد نص العقد اللاعب سيعود الفيحاء وأشار المصدر النادي الأهلي تعاقد أوسو 25 أكتوبر الماضي تنتهي فترة الإعارة قبل نهاية الفترة الشتوية بأيام إضافة وجود بند العقد ينص أفضلية التجديد للأهلي نهاية الموسم,الفيحاء ينتظر قرار الأهلي,0
أحمد الخلف,الرياض,2021-01-25,12:27,يحل فريق الهلال الأول لكرة القدم ضيفا الفيصلي اليوم ضمن الجولة 15 دوري كأس محمد بن سلمان للمحترفين لقاء يحتضنه ملعب مدينة المجمعة الرياضية ويحمل اللقاء رقم 11 تاريخ مواجهات الفريقين دوري المحترفين صعود الفيصلي إليه موسم 2010ـ2011 استضاف ملعب مدينة المجمعة 10 لقاءات يستطع خلالها الفيصلي تحقيق الفوز وانتهت ست مباريات بفوز هلالي حضر التعادل 4 مباريات واستطاع لاعبو الفيصلي تسجيل 9 أهداف فقط سجل لاعبو الهلال ضعف الرقم ويعد آخر فوز للفريق العاصمي الملعب قبل 4 مواسم الجولة 18 موسم 2016ـ2017 انتهت جميع مباريات المواسم الثلاثة الماضية بالتعادل الفريقين وسجل فوز الهلال بنتيجة 3ـ1 موسم 2013ـ2014 أكبر النتائج الفريقين حضرت الملعب ويتصدر الرباعي ياسر القحطاني سلمان الفرج سالم الدوسري وعمر خربين قائمة هدافي الهلال الملعب ذاته رصيد منهم هدفان الجانب الآخر يعد الترينيدادي خاليم هايلاند سجل ملعب المجمعة مرمى الهلال برصيد هدفين مباراة واحدة كانت الموسم الماضي 2019ـ2020 فاز الهلال 6 مباريات تعادل الفريقان 4 مباريات سجل الهلال 18 هدفا سجل الفيصلي 9 أهداف هدافو المواجهات المجمعة ياسر القحطاني ـ سلمان الفرج ـ سالم الدوسري ـ عمر خربين هدفان لكل منهم هداف الفيصلي مرمى الهلال الترينيدادي خاليم هايلاند برصيد هدفين,الهلال يخسر المجمعة,1
